"salaries.Rk","salaries.Player","salaries.Salary"
"1","DeMarcus Cousins","$14,728,844"
"2","Rudy Gay","$12,403,101"
"3","Rajon Rondo","$9,500,000"
"4","Kosta Koufos","$7,500,000"
"5","Marco Belinelli","$6,333,333"
"6","Darren Collison","$5,013,559"
"7","Willie Cauley-Stein","$3,398,280"
"8","Ben McLemore","$3,156,600"
"9","Omri Casspi","$3,000,000"
"10","Caron Butler","$1,499,187"
"11","James Anderson","$1,015,421"
"12","Quincy Acy","$981,348"
"13","Seth Curry","$947,276"
"14","Wayne Ellington","$923,670"
"15","Eric Moreland","$845,059"
"16","Duje Dukan","$525,093"
"17","Marshall Henderson","$35,000"
"18","Vince Hunter","$35,000"
