"salaries.Rk","salaries.Player","salaries.Salary"
"1","Dwight Howard","$22,359,364"
"2","James Harden","$15,756,438"
"3","Ty Lawson","$12,404,495"
"4","Corey Brewer","$8,200,000"
"5","Trevor Ariza","$8,193,030"
"6","Patrick Beverley","$6,500,000"
"7","K.J. McDaniels","$3,333,333"
"8","Terrence Jones","$2,489,530"
"9","Donatas Motiejunas","$2,288,205"
"10","Sam Dekker","$1,646,400"
"11","Jason Terry","$1,499,187"
"12","Josh Smith","$1,499,000"
"13","Clint Capela","$1,242,720"
"14","Marcus Thornton","$1,186,000"
"15","Montrezl Harrell","$1,000,000"
"16","Michael Beasley","$306,527"
"17","Andrew Goudelock","$200,600"
"18","Chuck Hayes","$83,583"
